Date,"GLD,IEF,LQD,QQQ,TIP,VNQ","GLD,IEF,QQQ,TIP,VNQ","GLD,IEF,LQD,QQQ,VNQ","GLD,IEF,QQQ,VNQ","GLD,IEF,QQQ,TIP,TLT,VNQ"
2005-12-20,104870.45456444233,104791.93727001517,104496.95438469078,103936.65861210055,104791.93727001517
2005-12-21,105464.0296287783,105385.06792025677,105088.41540847886,104524.94831751642,105385.06792025677
2005-12-22,106453.90847530842,106374.20563708396,106074.76876321393,105506.01300505355,106374.20563708396
2005-12-23,106542.24310751523,106462.47413249033,106162.78878821184,105593.56108090997,106462.47413249033
2005-12-27,106432.2787750531,106352.59213114713,106053.2160979726,105484.57590171824,106352.59213114713
2005-12-28,106940.82910656018,106860.76170721384,106559.95520780605,105988.59795838284,106860.76170721384
2005-12-29,106518.92097385875,106439.16946028991,106139.54971723635,105570.44661407538,106439.16946028991
2005-12-30,106204.99957171388,106125.48309344893,105826.746358306,105259.3204561763,106125.48309344893
2006-01-03,108701.31716609621,108629.17943818499,108323.66070268933,107761.60319622983,108623.75050395812
2006-01-04,108963.41719549289,108978.89512205916,108671.28079777175,108283.66430672962,108960.28607213448
2006-01-05,108908.7228148755,108875.50984204584,108706.99484017013,108291.5348106756,108852.95219906137
2006-01-06,109302.55783713814,109458.43133973322,109253.91126382325,109200.6094372047,109320.18524866141
2006-01-09,109599.86409491449,109849.17957105595,109609.55078039001,109726.96494018183,109663.47053250554
2006-01-10,109358.97326692517,109625.48636899242,109370.09250896725,109514.94529735566,109342.75089128353
2006-01-11,109369.44477470059,109700.80090005678,109443.00755351319,109718.28287874217,109380.25826812298
2006-01-12,109560.88661376855,109841.12491461643,109553.26549435951,109708.65038960258,109607.7452834287
2006-01-13,109832.62172139186,110095.9208604963,109815.8625965495,109940.18411393625,109918.07962223398
2006-01-17,109791.4688486672,110040.84308611444,109672.34349721475,109723.27548158256,109943.37601678268
2006-01-18,109495.25086146132,109654.61700582631,109292.70534305797,109165.31400115688,109609.08622545196
2006-01-19,109815.18831671338,110089.18233888003,109751.36188069568,109867.16969173966,109932.27190173582
2006-01-20,109448.69327268218,109567.969924577,109189.1111741943,108970.94882809663,109530.6834715113
2006-01-23,109584.5553360061,109664.92346286275,109429.6495832498,109205.34740170515,109608.09338586281
2006-01-24,109533.55948324865,109677.95923828063,109452.52417101544,109362.72233890239,109540.49355956414
2006-01-25,109056.92775889655,109244.06712328734,109050.20906561901,109064.15646113739,108995.348618713
2006-01-26,109013.37170037797,109240.16971416028,109028.36391909709,109113.69137038745,108923.11874914035
2006-01-27,109377.9690695533,109673.54573577397,109419.48562128165,109621.93181420762,109291.5561813304
2006-01-30,109363.4349558568,109790.43885592374,109407.27193767916,109810.69300425057,109374.8601068907
2006-01-31,109413.83958741641,109940.16377058749,109346.25573018246,109843.19858689298,109546.60946711445
2006-02-01,109292.84309703815,109804.69020453143,109297.31045964701,109809.77054306799,109360.14534299445
2006-02-02,108923.27247358797,109433.38878472471,108464.50526409553,108973.06059068222,108990.34713892423
2006-02-03,108730.73417681751,109239.94878050944,107394.98573945952,107898.5264315368,108797.69027757591
2006-02-06,108853.11261789987,109362.9003519937,107574.19405628683,108078.57499876556,108920.14407898112
2006-02-07,107915.56191830602,108420.95885607578,106129.0716861211,106626.67691264438,107982.01603812691
2006-02-08,107943.46677743756,108448.99440099631,106429.29000743247,106928.3028615116,108009.93808099748
2006-02-09,108298.85773548436,108806.04974829999,106915.39771628797,107416.68977372523,108365.54788786356
2006-02-10,107900.54119477095,108405.8677865448,106575.95909279505,107075.65963124084,107966.98606486972
2006-02-13,107501.27273989627,108004.72945256415,105764.67626570618,106260.57295881031,107567.47174152837
2006-02-14,107674.47880736187,108178.746689564,106722.45718191675,107222.84460298259,107740.78446883577
